kanji,kanji-meaning,reading-on,reading-kun,radical,radicals-icons,radicals-icons-names,,meaning-mnemonic,meaning-info,reading-mnemonic,reading-info,id,
?,Boisterous,??,??,"?, ?, ?",-,"horse, stool, insect",,"A horse gets trapped in a small room with a stool and an insect, and together they create a very boisterous situation. The horse and the insect are both scrambling frantically to get out of the small room, knocking the stool around all over the place.","Imagine the boisterous sounds coming from this small room. Hear the horse neigh and stomp his hooves, hear the insect buzzing loudly, and hear the wooden stool rattle around as the horse and insect try to escape the room.","At the height of their boisterous sounds, there's a sudden, awful CRONCH(!) and you see the soul (??) of the insect slowly rising out of the room, through the ceiling.",The horse gets even more frightened now that it killed the insect and saw an actual soul float by its head and it grows even more boisterous.,4632,level30 kanji
?,Decorate,???,??,"?, ?",,"eat, towel",gun,"When you eat you want to see the shape of your gun from under a towel, so you decorate your house with them.","Just picture it: an entire home decorated top to bottom with guns covered in towels, so only the outline shows. As your guests try to eat you say, ""Guess what gun this is?! Haha, you got it wrong, pull the towel back.""","If you actually decorate your house like this it will give people quite a shock (???). In fact, they might be so shocked they run out of there screaming.","Maybe you should be more conscious of other people when you decorate. Or at least, don't shock people into fainting or yelling or leaving. Guns do that, you know?",4633,level30 kanji
?,Deposit,?,??,"?, ?",-,"beforehand, geoduck",,"If you want to buy a geoduck you have to go to the bank beforehand to deposit enough money. If you don't deposit your money you won't have enough in your account to buy even one! They're expensive, after all.",Imagine yourself depositing your money beforehand. Imagine the delicious geoduck you'll be able to buy now that the money has been deposited into your account!,You go to the bank to make the deposit and there is a kid standing in your way playing with a yo-yo (?). You try to squeeze past and he hits you in the face with the yo-yo! Now you can't see! Now you can't make the deposit!,Imagine trying to make a deposit to your bank after getting hit in the face with a yo-yo. You can hardly see what you're shoving your money into. You hope it isn't the hands of the kid that hit you!,4634,level30 kanji
?,Edition,??,-,"?, ?",-,"one-sided, anti",,If you are anti one sided paper you should bind them all up into an edition.,"One sided paper is just anti everything. It's bad for the environment. It's bad for easy reading. Put all those one sided papers together into one, big edition instead.","The first edition you create is a fan fiction all about the adventures of Han (??) Solo. You hated how short and one sided his story in Star Wars seemed to be, and trying to keep track of it all was really hard. But not anymore!",Please read my super special Han Solo edition of the Star Wars story. I ripped out all the one sided pages that had him in it and put them into a single edition together so it's just the good stuff now.,4635,level30 kanji
?,Flag,?,??,"?, ?",,"direction, crab",gun,"Traveling in the direction of the ocean, you take a gun and shoot a crab, then stick a flag in the beach and claim it as your own. The crab was the only thing standing in the way of you conquering the area. Now that the flag is in the ground, no one can dispute who it belongs to.",Look at your flag and hear it flapping in the wind. Also hear your ears ringing a bit from when you shot that crab. Look at all the bits of exploded crab strewn around the area. Yowza.,"To make sure that no one removes your flag, you lock it to one of the lifeguard posts and you throw away the key (?). Since no one will have the key to unlock the flag, no one will be able to remove it.",Picture yourself locking this flag up with your key. Imagine turning the key in the lock and hearing the click when it is secured.,4636,level30 kanji
?,Float,?,"?, ??","?, ?",,"tsunami, child",cleat,"A tsunami knocks a cleat off a child and the shoe begins to float away in the water. This child was just out playing soccer, minding his own business, when the tsunami crashed in and knocked his cleats off his feet. Now the cleat is floating away with the tsunami.","Your cleat is floating away but you’re floating too. The water is really deep now, but you try and float towards your cleat to retrieve it. Imagine floating in this wet water reaching for your lost cleat.","While you float in the water, an uni (?) jabs into your foot. “Uwaaa~ (??)” you cry. That uni really hurts. They’re all spikey and painful and junk. “Uwaaaa~”",Say “Uwaaa~” out loud a few times while you imagine an ?? stabbing you as you float along with the tsunami water. What a day you’ve had.,4637,level30 kanji
?,Go Beyond,??,?,"?, ?",-,"run, become",,You run every day and soon you become a human that can go beyond the normal speed limits of man. You run and you run and you run. This training allows you to become super human. You go beyond the limits of a normal human. You become a human who can run really fast.,"Run fast! Go beyond the limits imposed upon you by nature! Imagine yourself running faster than any human has ever run ever. Feel yourself cutting through the air, wind breaking across you as you break the sound barrier. Boom!","To solidify your ability to go beyond the abilities of other humans, you etch (??) sacred runes into your legs to preserve your running abilities. Etching these runes makes sure that your skills will never deteriorate.",Etch these runes into your legs. Go ahead and run a finger over your legs and pretend to etch runes into them. These runes you etch will allow you to run fast forever.,4638,level30 kanji
?,Illuminate,???,?,"?, ?, ?",-,"sun, call, boil",,The sun is being called on to boil the earth by illuminating it.,"We don't want the earth to actually boil, but we do want some of that boiling hot sun light to illuminate all of the darkness of the universe and let us see.",The person who calls the sun asking it to illuminate the earth is the Shougun (???). It's very specifically the Shougun's responsibility to make sure the earth is illuminated every morning.,"Picture the Shougun calling out to the sun, asking it to illuminate our planet with its boiling hot rays. You better thank the Shougun the next time you see him for everything he does for you.",4639,level30 kanji
?,Leak,??,?,"?, ?, ?",-,"tsunami, flag, rain",,"A tsunami rips a flag off your house in the rain, causing a leak where it was ripped out. The rain and the tsunami combined just tore the flag right off your house. The force was so strong that it actually removed part of the wall, and now you have a leak in your home.",Look at this leak in your house and see the rain water coming in. Hear it drip drip dripping down the wall.,"The leak is getting worse and worse and so is the tsunami, when you see something outside. It’s a bunch of roe (??) floating in the waves. Using your quick thinking skills you scoop it up and shove it into the cracks where the water is leaking in. It works like a charm!","Did you know that roe can plug any leak? It’s true. If you don’t mind wasting some, you should break a leak into your own house and then try to plug it back up again with some salmon roe.",4640,kanji level30
?,Lineage,??,-,?,-,lineage,,The lineage radical and the lineage kanji are the same.,"Know your radicals, yo!","You trace your lineage back and realize that every single person in your family loved cake (??). Most of them were cake bakers, too!","You come from a lineage of cake makers and eaters. No wonder you love cake so much! (And if you hate cake, no wonder your family doesn't like you.)",4641,level30 kanji
?,Look At,??,-,"?, ?, ?",,"servant, ground, see",gun,A servant holding a gun sits on the ground to see if he can find something to look at. The servant is on watch duty and has the gun to protect the perimeter. He patrols the grounds to look at the distance to see if there are any trespassers.,"Look at this servant. He’s doing a great job. Oops, look like he sees you. Yup, he’s pointing his gun at you. Imagine staring down the barrel of his gun as you slowly back away.","You start backing away, but then you realize that you are Macho Man Randy (??) Savage. Randy Savage backs away from no fight! I mean, look at this guy – this servant guy. Take away the gun and he’s not much to look at. You can take him.","Pretend you are Macho Man Randy Savage. Run at this servant guy, take his gun away, and beat him up. Ohhh yeaaahhh!",4642,level30 kanji
?,Marriage,??,-,"?, ?, ?",-,"woman, clan, sun",,You meet a woman from another clan under the rising sun to prepare for marriage. Your clan and her clan are standing together as the two of you watch the sun rise together.,"Marriage is a big deal and it's going to connect your two clans, so you have to do the ceremony in the sun in front of everyone so they can see.","For the marriage to be official, you need to wait for a condor (??) to appear. If it doesn't show up before the sun goes down again, the marriage was a failure. You have to try again tomorrow with a different woman.","Do you want to go through with this marriage? You better hope you see a condor then! It's the official bird of love and unification, ya know. That's why so many people wait until they're older to get married these days, because there aren't as many condors thanks to deforestation.",4643,level30 kanji
?,Nostalgia,??,??,"?, ?, ?, ?",-,"soul, cross, net, clothes",,Your soul will cross through your body and into the net of your clothes so that you'll be hit with nostalgia when you wear them again. Nostalgia for all the things that happened every single time you wore those clothes.,"When you put on an old piece of clothing, a shirt maybe, or some pants, feel the nostalgia that was embedded in it and left there by your soul.","This nostalgia ties knots (??) in your stomach and your chest. Even if the memories and feelings weren't particularly bad, there's something about the wistful feeling of nostalgia that knots up your insides.",Feel these nostalgic knots inside you. Now tie knots in the clothes that make you feel nostalgic so you don't wear them again.,4644,level30 kanji
?,"Photograph, Photo",??,?,"?, ?, ?, ?",-,"fingers, sun, ear, stool",,"You put your fingers and an ear on a stool in the sun so you can get your photograph taken. This is a glamour photo, so you have to be in one of these weird, cheesy poses for it to come out jusssst right.","Imagine putting your fingers and your ear on a stool, now try to relax your head a little bit, and smile for the camera. This is a professional photograph, so you better do what you're told!","As you're getting the photograph taken, the photographer suddenly gets angry at you. ""You sat (??) down!"" he screams. ""I sat down?"" you ask. ""Yes! And now the photo is ruined!""","You've never gotten a professional photograph taken before, but if you had known if you sat(s) down you'd ruin the shot you never would have. Remember everyone, if you sat down while your photo was being taken, you ruined it.",4645,level30 kanji
?,Pillow,??,???,"?, ?",-,"tree, pirate",,The tree pirate jumps from a tree and attacks you by hitting you with a pillow.,"It hurts a little bit, but the fact that tree pirates use pillows as their weapons is a bit anticlimactic.",As he hits you with his pillow he makes a demand: "Give me your Mac cooler (???). He wants the device that cools down your Mac computer.,"You give him your Mac cooler and he goes on his way. He's quite happy he can cool down his Mac, now. The trees are quite warm and he hears this will help to cool down his tree apples.",4646,level30 kanji
?,Play,??,??,"?, ?",,"direction, child","scooter, gun","On a scooter running in one direction is a gun-toting child. This is a terribly dangerous situation, but to the child it is just play.",Imagine a child riding a scooter with a gun having a good time. "Come play with me!" they shout. "No!" you yell back.,"Everything is play for youths (??), even if it's a terrible, scary, not good situation like this one.","Imagine trying to explain to the youth that this is not play and that they should stop, but them youths can't stop playing. P.S. From the WaniKani staff to you: Don't let youths play with guns, please.",4647,level30 kanji
?,Pleasant,??,????,"?, ?, ?",-,"soul, person, hook",,"The soul of a person has a hook that can make them pleasant. When you see, hear, or feel something pleasant, can't you feel that hook pressing into the middle of your body?","Imagine that feeling you get when everything is just SO pleasant. There is a pressure from your soul's hook digging in. It's a good feeling though, a pleasant one! It isn't too hard or too soft.",If you want to feel this pleasant feeling just look at a kayak (??). Kayaks are the most pleasant boats in the world. Feel that pleasant feeling in your chest just from reading about kayaks in this mnemonic right now.,"Go look up pictures of kayaks to get some of that pleasant high. Mm, your soul is hooking you real good.",4648,level30 kanji
?,Poor,"??, ??",??,"?, ?",-,"part, shellfish",,Those that can only eat a part of a shellfish are probably a bit poor.,Poor people can't even afford a whole shellfish. They have to settle with just a part.,"And since they are poor, they are getting these shellfish parts from the trash bin (??). It's quite unfortunate.",Imagine a poor person going through a garbage bin to find only a part of of a shellfish. What a sad sight.,4649,level30 kanji
?,Prolong,??,"??, ?","?, ?",-,"yoga, correct",,"If you do yoga correctly, you will not only prolong your body but your life!",Do you want to prolong your life? Then do yoga correctly!,"You can prolong your life with correct yoga techniques, but unfortunately, if you ever stop doing yoga after you've started this prolonging process, it will just end (??) suddenly.",Correct yoga will prolong your life but no yoga will end it. Do you think that's a fair trade?,4650,level30 kanji
?,Push,??,?,"?, ?",-,"fingers, turtle-shell",,"Take your fingers, put them on this turtle shell, and push push push! Push the turtle right on out of there.","Picture yourself using your fingers to push a turtle out of its shell. It really doesn't want to leave, so you have to push really hard.","You're trying to push this turtle out so you can use the shell for your new obi (?). You keep seeing other people wearing turtle shell patterns on their obi, but you're going to go a step further. You're going to MAKE your obi out of actual turtle shells! You just have to push this darn turtle out first.","Imagine pushing some turtle shells flat to make a beautiful obi. Wear it out, watch everyone gasp in awe. Oh... oh no! They're trying to push you out of your obi like you did the turtle. They're mad about your turtle crime!",4651,level30 kanji
?,Scarce,??,??,,,,"leaf, hills","If you look for a leaf among the hills you will notice they are scarce. The hills have no trees around them, so there are no leaves. The leaves are scarce here on the hills.",Imagine being on the hills. You want a leaf to find and take back as a souvenir but there are none. Imagine looking feverishly for a leaf even though you don’t really expect to find one.,"Still looking for a leaf, you determine that they are far too scarce to find here. Just before you give up, you discover a giant bowling (??) ball. As you pick it up, another one comes thundering down the hill knocking over a tiny tree.","Leaves are scarce here because someone is using these hills for their bowling. The bowling balls knock over everything, and leaves can't grow.",4652,level30 kanji
?,"Scent, Fragrance",-,??,"?, ?",-,"prison, spoon",,You're in prison and all you have is a spoon. You use that prison spoon to scoop up nice scents and fragrances out of the air when you have outdoor time and bring them back into your cell.,"It smells really bad in prison, but your prison spoon is full of all of the lovely scents you remember from when you were free.","You can't remember what any of these scents are anymore, you've been in prison for so long, so you call them all neo-scents (??). They're neo, they're new.","Try to come with some neo-scents right now. This is neo-laundry, this is neo-flowers, and this is neo-delicious-steak I'll never get to eat because I'm in prison sniffing a spoon.",4653,level30 kanji
?,Steal,??,??,"?, ?",-,"next, plate",,"The next plate is the one you will steal. This one would be too obvious, better wait for the next one.",Wait for this next plate. Here it is—now steal it! Imagine stealing this plate and making off with it.,"You steal this plate from a ????? restaurant, so after you steal it, picture yourself running through the streets of ????? as you lose your pursuers.","Be careful not to drop that plate! Wouldn’t want to steal something just to break it. Imagine running through the streets of ?????. See all the sights and hear all the sounds. Just don’t get too distracted, you gotta get to a safe place and stash your stolen plate away.",4654,level30 kanji
?,Subscription,??,-,"?, ?",-,"shellfish, lifeguard",,"Picture shellfish lifeguard. They're not going anywhere. First, they're a shellfish, so they can't really move. And, they're a lifeguard, so they need to be in their lifeguard tower. How does this shellfish lifeguard get stuff? Through subscription services.",See a bunch of subscription boxes around the lifeguard tower. It gets everything this way.,"The shellfish lifeguard's favorite subscription is its subscription to ???? magazine. It has all the latest ???? versions, news, and interviews.","See the shellfish lifeguard drooling as its ???? magazine subscription arrives. ""I will read this one now, but I can't wait until next month,"" it says as a boat sinks in the distance. Hint: when you see the ""lifeguard"" radical, the reading is probably going to be ??.",4655,level30 kanji
?,Suitable,??,-,?,,mohawk,scooter,"A scooter with a mohawk, now that's the most suitable hairstyle you could ever think of for a scooter!",You keep seeing scooters all over the city with mohawks and you can't get it out of your head that it's the most suitable thing you've ever seen.,"You want this suitable hairstyle for your scooter too, and luckily you're a techie (??), so it's easy for you to install one.",Imagine going online to check out some of your techie message boards and learning the most suitable mohawk for your scooter then installing it yourself.,4656,level30 kanji
?,"The Following, Following, Next",??,-,"?, ?",-,"feathers, stand",,"There are some feathers resting on a stand and you and the following of the feathers are following the feathers. The feathers have a following, and you are one member of the following. You and your fellow followers follow the feathers wherever they may go.","Imagine you and the following following the feathers all around. Following the feathers isn’t always easy, but you do it anyway. Imagine touching one of the feathers and feeling the smooth texture on your skin.","While you and the following are following the feathers from their departure from the stand, one of the members of the following drops an egg and yolk (??) spills everywhere. What a mess! Being a quick thinker, you use one of the feathers to soak up the yolk and clean up the mess.","Imagine cleaning up egg yolk with a feather. The rest of the following follows your example and takes the other feathers, helping you clean up the yolk.",4657,level30 kanji
?,Thirst,??,??,"?, ?, ?, ?",-,"tsunami, sun, prison, spoon",,"You're stuck in a prison on the sun with nothing but a spoon. Lucky for you a tsunami is coming, so you take your spoon and use the tsunami to quench your thirst. You spoon the hot, hot water into your mouth as fast as you can. This is the only way to get water on the sun.","Imagine this thirst of yours. You've been in this sun prison for longer than you can remember. You've been holding onto this spoon, waiting for this moment for so long.","This method of quenching your thirst reminds you of being in a car wash (??). The water pours over you in waves, and you're stuck inside a metal cage. Totally the same thing as a car wash, right?",Imagine quenching your thirst in a real car wash. Open your mouth and let the soapy water dump on over and in you. You'll never be thirsty again!,4658,level30 kanji
?,Token,?,-,"?, ?",-,"bamboo, attach",,You take some bamboo and attach it together into a token of appreciation for your friend. Your friend greatly appreciates this token of friendship.,Imagine trying to attach some bamboo together into a token for someone.,"You hand over the token but your friend drops it and yells, ""You fool (?)! I'm allergic to bamboo!""","Imagine the embarrassment you feel, forgetting they were allergic to bamboo. Oh well, it’s the thought that counts. You’re still a fool, though.",4659,level30 kanji
?,"Wet, Damp",-,?,"?, ?, ?",-,"tsunami, rain, rake",,"If a tsunami hits, it's raining, and you're outside trying to use a rake, you're going to be very wet and damp.",Imagine how wet and damp you'd be with tsunami water up to your knees and rain pouring down on your head. You struggle with your rake anyway.,You can't stand how wet and damp you feel in these clothes so you rip them off and rake in the nude (?)!,"You're still wet, but at least you don't have the feeling of damp clothes touching your body now. You'll have to be really careful raking in the nude though.",4660,level30 kanji
?,Belt,??,??,"?, ?, ?, ?",-,"mountain, ground, forehead, towel",,"There's a mountain coming out of the ground that you want to climb, but your forehead needs a towel for all your sweat. You don't have a towel, so you take off your belt and tie it around your forehead.",The belt is easy to tighten and it catches all the sweat before it can fall into your eyes. It isn't quite as absorbent as a towel though.,"The belt isn't absorbent enough, so you wrap it in your tie (??) and then tie the whole thing around your forehead again.",It works! Your belt tied in a tie is the perfect invention!,4768,level31 kanji
?,Corridor,??,-,"?, ?",-,"canopy, guy",,The canopy guy is a guy who stands in the corridor trying to sell people canopies.,"You walk through this corridor every day, and the canopy guy always accosts you with canopy sales. You wish there was another corridor you could take, but it's the only way to get where you want to go.","You take the corridor, but this time the canopy guy is gone. In his place is a new salesman. This one is trying to sell you roe (??).","The roe salesman in the corridor is worse than the canopy salesman. They're both insistent, but the roe salesman smells bad.",4769,level31 kanji
?,Detach,?,??,"?, ?",-,"rocket, turkey",,The rocket turkey has several points which will detach during takeoff.,"Imagine the rocket turkey taking off. Just like a regular rocket, as it goes up, used pieces of the turkey rocket detach and fall back to the ground.","When the rocket turkey parts detach, they fall to the ground onto a bed of reeds ?.",The reeds catch on fire - probably best not to fire off turkey rockets so close to these fields of reeds. Imagine the launch site completely surrounded by reeds.,4770,level31 kanji
?,Diameter,??,-,"?, ?",-,"loiter, tombstone",,"You loiter around a tombstone to measure its diameter. You’re doing this to each tombstone, and if you loiter around long enough, you’ll soon know the diameter of every tombstone.","Imagine loitering around a tombstone. You're leaning on it. You're staring at nothing. Oh, and you're also measuring its diameter.","You need to know the diameter of each tombstone so you can make cakes (??) for each one. But the cakes can't be wider than the tombstones, or they'll flop off onto the ground.",These carefully measured tombstone-diameter cakes are your special way of saying thanks to the ghosts for letting you loiter around their graves.,4771,level31 kanji
?,Dissolve,??,-,"?, ?",-,"bully, insect",,"You see a bully take an insect and dissolve it in some acid. Bullies are messed up, mean people. They do awful things that normal kids and people wouldn't do... like dissolve a living creature.",Actually... try to forget this one. Don't think about a bully dissolving things in acid. Think happy thoughts. Like... the bully getting dissolved instead and all the little insects coming back to life and being happy.,The only bullies heartless enough to dissolve insects like this are youths (??). Do you really think an adult would melt a harmless critter? No. Only inexperienced youths could be so cruel.,"When you first read this and you pictured the bully dissolving the insect, you pictured them as a youth, right? See? It makes complete sense.",4772,level31 kanji
?,Equal,??,??,"?, ?, ?",-,"dirt, pool, drop",,"You have some dirt next to a pool that has an extra drop of water in it because you need them to be equal. If there's too much dirt outside the pool and not enough water inside, it's gonna look weird. We can't have that.","Imagine seeing a pool that isn't equal. It's like a tiny kiddy pool with an inch of water. And it's surrounded by mounds of dirt. No no no, this won't do—add more water to make them equal.","You spend a few hours making sure the water-to-dirt ratio is perfectly equal, not for yourself, but because the King (??) of England told you to. You may agree that equality is important, but it's the King's responsibility to keep things that way. Which is why he ordered you, small peon, to do the equalizing work for him.","Okay, so the existence of a king kind of makes things not, well, equal, for all people. But at least aesthetically everything will be!",4773,level31 kanji
?,"Exclude, Remove","??, ?",??,"?, ?",-,"building, surplus",,"The buildings are at a surplus. Because of that, we will need to exclude some of them from our future plans. Also, we'll need to remove some buildings too.","Say you're looking at a map of the city, with all the buildings laid out on it. There are too many, so you start marking which ones to exclude from the building plans. You also remove some buildings from the map all together.","Working with you on this project to exclude buildings from the plan, as well as remove buildings that already exist is little Jo-Anne (??).","She's pointing out buildings to exclude / remove with great ferocity. ""Remove this one. Exclude this one. Oh, and remove this one too.""",4774,level31 kanji
?,Freight,?,-,"?, ?",-,"change, shellfish",,You want to change your shellfish into freight so you can transport it. That means packing them up into giant freight containers.,"Imagine changing your shellfish from loose, wet form, to solid freight form. It's actually a lot of hard work.","To move this freight, you need a car (?). You strap all of the freight containers to the top of your car, stacked nice and high and precarious, so you can move it.","Picture all of this freight stacked on top of your car. As you drive the car, every turn you make feels slow and heavy from the freight weight.",4775,level31 kanji
?,Grandchild,??,??,"?, ?",-,"child, lineage",,A child shares his lineage with a grandchild. The child passes his lineage down to his child and then that child’s child is the grandchild and between them all a lineage is shared.,"Look at this family tree. See the child, and then the grandchild. Trace the lineage with your finger as you observe.","The son (??) of a son is a grandchild. In this case, a grandson. Easy.",Just remember that a son is all you really want. You need a son to carry on the family name and the lineage. So make sure that your child and your grandchild are both sons.,4776,level31 kanji
?,Grave,?,??,"?, ?",-,"dirt, greenhouse",,There's a strange patch of dirt in this greenhouse that's actually a grave. Dig around a little and you'll find the marker buried in there. If you dig deeper you'll probably find less pleasant things.,"I guess it makes sense to have a grave in a greenhouse. The heat will help the body decompose, then that nice, rich dirt will help the flowers grow.",You decide to dig even deeper into the grave out of curiosity and you find a bow (?) and some arrows. This must be the grave of a great archer! But you probably shouldn't keep digging around in this grave looking for more stuff.,Hold the grave bow in your hands. It smells like dirt and wood. Maybe no one will notice if you take it... though you may end up haunted by whoever is buried in this grave.,4777,level31 kanji
?,"How Many, How Much",?,??,"?, ?, ?",-,"poop, drunkard, person",,You poop twice on a sleeping drunkard person and you find yourself wondering how many more times you can poop on them and wonder how much they can take before they realize what’s going on.,"You’ve already pooped twice on this drunkard, how many more times can you do it? How much do you think this person can take? Just imagine yourself doing this.","As you continue thinking about how much poop this drunkard can take and how many more poops you can drop on him, he begins to wake up. Quickly, you eke (??) out one last poop before you scurry away. You eke that poop out just in time to make your escape.",Imagine yourself as you eke out that last poop. Really concentrate on eking it out so you can get away in time. Flex your butt muscles for added effect.,4778,level31 kanji
?,Inquire,??,"??, ??","?, ?, ?, ?",-,"wolverine, construction, mouth, measurement",,"Wolverine is doing a construction job and he’s using his mouth to measure so he knows how many folks he needs to inquire about helping him with the job. Using one’s mouth is a strange way to measure something, but that’s just how Wolverine does things. Once he measures it all out, he’ll know how many construction workers he needs to inquire about working for him.","Imagine Wolverine going around, measuring the construction site with his mouth. Look at him with his mouth wide open, wandering around the site deep in thought. What a weirdo.","You decide to inquire as to why Wolverine is using his mouth to measure out this construction site. As you get closer you notice his cool ripped jeans (??). Instead you inquire how he got such a fresh style. He looks you up and down, pulls out his claws, and tears yours up to match his. You’ve completely forgotten what it was you were asking, but who cares! Look how great you look!",Look down at your ripped up jeans. You’re so fashionable now! Just like good old ‘90s Wolvie.,4779,level31 kanji
?,Knit,??,?,"?, ?",-,"thread, library",,"Bring thread to the library to knit. Libraries are quiet and generally pretty empty nowadays, so it's the perfect place to relax and do some knitting. Of course, if you find thread lying around in a library you know what to do now.","Picture yourself sitting on a rocking chair in the library knitting away. It's quiet and peaceful and the light is warming you just right. Ahh, bliss!","You need to come to the library to knit because if you try to do it at home all your hens (??) will try to eat the thread. Hens love eating things that look like worms, like hay, string, and thread. So it's important to get far away from them before you start to knit.",Imagine the granny or grampy you are (and must be to have hens and want to knit in peace in a library). You're tired of these hens eating your thread while you try to knit sweaters for all your grandbabies so you come to the library.,4780,level31 kanji
?,Land,??,-,"?, ?",-,"building, womb",,A building made from a womb must be placed upon the land.,"Why must it be placed upon the land? If it were put in water, it would dissolve too quickly. So, you put your womb building on the land, instead.","The land around your womb building will, unfortunately, reek (??) though.","It's made of biological materials, so of course it will reek.",4781,level31 kanji
?,"Look For, Search For",??,"??, ??","?, ?, ?",-,"fingers, pi, tree",,"If you want to get your fingers in the pi tree, you're going to have to look for it. This isn't a tree made of pie, or growing fully-baked pies. It's a pi tree, one that exists infinitely. It's the most rare tree in the world. And if you want to stick your fingers in it, you have to search for it, far and wide!","Imagine it like a quest from a book or movie. You have a band of travelers, and you're all out searching for it together!","You try to look for the pi tree for so long that you can't help but get a very deep tan (??). You can't search for anything inside, and you definitely can't find the pi tree inside, so you spend a lot of time outside in the bright sun.","Feel the sun's rays on your skin as you search and search and search for the tree. Watch as your skin gets darker, crispier, and hmm, smells like cooked meats. Now that's a good tan.",4782,level31 kanji
?,Luxurious,??,-,"?, ?, ?, ?",-,"lid, mouth, forehead, pig",,"You put a lid on a dish you're cooking, made up of the mouths and foreheads of a pig. Unknown to most, these are the juiciest, most delicious parts of a pig. And dang, they are the most luxurious, too.",Mix those pig mouths and foreheads in your pot. Think of how luxurious your soup looks.,"Luxurious pig mouth forehead soup is a favorite of Grandpa Koichi (????). You see him sniffing around your window, then he knocks and waves.","""Can I have some of your luxurious soup?"" Grandpa Koichi asks. ""It smells so swell.""",4783,level31 kanji
?,Model,??,-,"?, ?",-,"gold, oversee",,"You are given some gold to oversee a model. You are a famous architect, so you get a lot of gold for overseeing the construction of models like this one.","Feel the gold, heavy in your pockets, as you oversee this model being built. Observe it and watch as it grows under your watchful eye.","As the model nears completion, you realize it's taking the shape of Genghis Khan (??). Was that what this was supposed to look like? You were so busy overseeing the gold in your pocket, you forgot!","You watch nervously as this model of Genghis Khan is finished. You're really not sure if this is who you were meant to model it after, but it's too late to change it now. Genghis Khan it is!",4784,level31 kanji
?,Mud,??,??,"?, ?, ?",-,"tsunami, flag, spoon",,"A tsunami came in and buried your flag so now you have to use a spoon and dig it out of the mud. The tsunami knocked your flag over and then covered it in mud, so you gotta use your spoon to dig it out.","Imagine using a spoon to dig your flag outta all this mud. So much mud! Feel its cold, soiled wetness on your hands as you dig away.","The time of day (??) is high noon, so the sun soon dries the mud and makes it harder to dig through. It just might take you all day to spoon your way through this mud.","Imagine yourself out in the day, continuing to dig through the now hardened mud. Feel your arm getting tired as day slowly turns to night.",4785,level31 kanji
?,Nest,??,?,?,,fruit,grass,Birds use grass and fruit to make their nests.,"Picture a cute little nest with a family of birds in it. It looks like it was woven together with bits of grass and strawberries, so it smells delicious too.",The bottom of the nest also seems to be padded with someone's suit (?). Did... did this bird attack a human for this?!,"Picture the nest, made of grass, fruit, and the suit of the angry salaryman who's shouting below the tree, and missing the top half of his suit.",4786,level31 kanji
?,Normal,?,-,"?, ?",-,"line-up, sun",,"You line up your body with the sun and everything looks normal. The sun is lined up behind you, and you’re looking at all the things the sun has lit up. Everything looks normal.",Gaze out in a line from the sun as you observe the world. Everything is very normal looking and comforting.,"Soon you see something that doesn’t look so normal. It’s a fool (?), a jester. Dressed all in fool’s garb, this fool is dancing up towards you with a ridiculously unsettling grin on his face.",Imagine this creepy looking fool as he approaches. He’s kind of freaking you out. Feel very uncomfortable as you continue looking at this fool.,4787,level31 kanji
?,"Pole, Rod, Wooden Pole",??,-,"?, ?",,"tree, dry",spring,A tree in spring that's nice and dry will make a good pole or rod. Break it out of the ground and it's just flexible enough for tons of applications.,"Use this pole to hang your towels or curtains. Ooh, use it to pole vault!","After much deliberation, you decide to use this pole to go bowling (??). You line up a few more poles for the pins, and roll a rock toward them.","You decide to name this super hard, pole bowling tree-poll-pin bowling. Even harder than candlepin. The thinnest, most extreme pole bowling of all time!",4788,level31 kanji
?,Powder,??,"??, ?","?, ?",-,"rice, part",,"If you grind rice, every part of it, eventually it will become a fine powder. You can then use this rice powder as a part to create some other dish. Some kind of cake, perhaps.",Imagine yourself grinding this rice into a powder. Hear the scrape of the rice on stone as you grind it down to the finest powder.,"Actually, grinding the rice down to a powder is super fun (??). It’s so fun you don’t want to stop! AH HAHAHAHA! RICE POWDER! SO FUN!","Okay, we got a little carried away there. Just keep in mind how fun this is. Make sure you say fun with a little bit of a Scottish accent. You know what they say, Scotts have more fun!",4789,level31 kanji
?,Previously,?,??,"?, ?",-,"root, fang",,"There's a root where your fang previously was. Your fang isn't there anymore, you ripped it out.","Look at the root where your fang previously was. Previously, when you were young, you had a lot of nice fangs but they're all rotting as you get older and you pull them out.","To remember the beautiful fangs you previously had, you keep all of the ones you pull out in a box you lock with a key (?).","Previously you didn't have a key, but now you do to keep your old fangs safe.",4790,level31 kanji
?,Rescue,???,??,"?, ?",-,"request, winter",,You request that winter rescue you from the warmth of the other seasons.,It's so hot. You hate it. You really hope winter will get your request and come early to rescue you.,"You get a note in the mail from winter! This is it, you're going to be rescued! You open the note and it says, ""I have rescued you with this cucumber (???)."" A cucumber falls out of the note.",This cucumber is supposed to be cool and refreshing enough to rescue you from the heat. I guess it was too much to expect winter to come early just for you. At least cucumbers are yummy.,4791,level31 kanji
